time,symbol,strategy,direction,entry,sl_pts,tp_pts,atr,point,outcome,pnl_pts,pnl_usd,week
2026-07-10 05:30:00,ETHUSD,PIP_BLAST,BUY,1766.61,59.324878334571075,249.88507404986134,4.935514004540023,0.01,LOSS,-59.3,-0.06,Jul 04–10 2026
2026-07-10 05:45:00,ETHUSD,PIP_BLAST,BUY,1770.44,66.19056131504115,278.8043360549529,5.506702272465986,0.01,LOSS,-66.2,-0.07,Jul 04–10 2026
2026-07-10 06:00:00,ETHUSD,PIP_BLAST,BUY,1769.91,73.55773428359858,309.83594731935074,6.1196118372378185,0.01,LOSS,-73.6,-0.07,Jul 04–10 2026
2026-07-10 06:15:00,ETHUSD,PIP_BLAST,BUY,1768.15,78.42387634655496,330.3328502018367,6.524448947300746,0.01,LOSS,-78.4,-0.08,Jul 04–10 2026
2026-07-10 06:30:00,ETHUSD,PIP_BLAST,BUY,1773.43,79.81423139542088,336.18922924710137,6.64011908447761,0.01,LOSS,-79.8,-0.08,Jul 04–10 2026
2026-07-10 06:45:00,ETHUSD,PIP_BLAST,BUY,1773.79,82.11540647322995,345.8821156189378,6.831564598438432,0.01,LOSS,-82.1,-0.08,Jul 04–10 2026
2026-07-10 07:00:00,ETHUSD,PIP_BLAST,BUY,1776.99,80.33585553008947,338.3863864799026,6.683515435115597,0.01,LOSS,-80.3,-0.08,Jul 04–10 2026
2026-07-10 07:15:00,ETHUSD,PIP_BLAST,BUY,1771.54,76.08222054931753,320.4694531124747,6.329635653021425,0.01,WIN,320.5,0.32,Jul 04–10 2026
2026-07-10 07:30:00,ETHUSD,PIP_BLAST,BUY,1773.41,67.48745826918149,284.26705592085347,5.614597193775499,0.01,LOSS,-67.5,-0.07,Jul 04–10 2026
2026-07-10 07:45:00,ETHUSD,PIP_BLAST,BUY,1772.35,54.15856392335658,228.1238012844878,4.505704153357453,0.01,WIN,228.1,0.23,Jul 04–10 2026
2026-07-10 08:00:00,ETHUSD,PIP_BLAST,BUY,1770.38,43.63893216433934,183.81357200336942,3.630526802357682,0.01,WIN,183.8,0.18,Jul 04–10 2026
2026-07-10 08:15:00,ETHUSD,PIP_BLAST,BUY,1771.5,22.431399845768063,94.48434061491156,1.8661730320938488,0.01,LOSS,-22.4,-0.02,Jul 04–10 2026
2026-07-10 08:30:00,ETHUSD,PIP_BLAST,BUY,1776.92,20.84426453766243,87.79909430464632,1.734131825096708,0.01,LOSS,-20.8,-0.02,Jul 04–10 2026
2026-07-10 08:45:00,ETHUSD,PIP_BLAST,BUY,1776.79,21.55433479346552,90.79001419244253,1.7932058896393943,0.01,LOSS,-21.6,-0.02,Jul 04–10 2026
