strategy,action,entry_time,entry_price,strike,option_type,premium,delta,theta,gamma,vega,confidence,reason,status,exit_time,exit_price,exit_reason,pnl
rsi_oversold,BUY,2026-04-01 10:45:00.000000,23025.79,23050,ce,5.0,0.5291,-0.4788,0.0117,0.2132,0.06724413038524754,,CLOSED,2026-04-01 10:51:00.000000,22974.16,Time Exit,-2581.500000000051
rsi_oversold,BUY,2026-04-01 10:55:00.000000,22940.71,22950,ce,5.0,0.4707,-0.5054,0.0093,0.2014,0.04903530847255079,,CLOSED,2026-04-01 11:01:00.000000,22956.6,Time Exit,794.4999999999709
rsi_oversold,BUY,2026-04-01 10:56:00.000000,22929.49,22950,ce,5.0,0.4707,-0.5054,0.0093,0.2014,0.0009933987054106788,,CLOSED,2026-04-01 11:02:00.000000,22967.52,Time Exit,1901.4999999999418
rsi_oversold,BUY,2026-04-01 10:57:00.000000,22906.05,22900,ce,5.0,0.5013,-0.4595,0.0096,0.2126,0.36980565145125677,,CLOSED,2026-04-01 11:03:00.000000,22949.59,Time Exit,2177.0000000000437
rsi_oversold,BUY,2026-04-01 10:58:00.000000,22903.29,22900,ce,5.0,0.5013,-0.4595,0.0096,0.2126,0.30980762834990827,,CLOSED,2026-04-01 11:04:00.000000,22951.48,Time Exit,2409.4999999999345
rsi_oversold,BUY,2026-04-01 10:59:00.000000,22928.48,22950,ce,5.0,0.4707,-0.5054,0.0093,0.2014,0.1256697119221376,,CLOSED,2026-04-01 11:05:00.000000,22942.87,Time Exit,719.4999999999709
rsi_oversold,BUY,2026-04-01 11:00:00.000000,22936.56,22950,ce,5.0,0.4707,-0.5054,0.0093,0.2014,0.08875094236723745,,CLOSED,2026-04-01 11:06:00.000000,22934.76,Time Exit,-90.00000000014552
rsi_oversold,BUY,2026-04-01 13:07:00.000000,23410.73,23400,ce,9.0,0.4362,-0.4861,0.0101,0.176,0.07265157081470666,,CLOSED,2026-04-01 13:13:00.000000,23468.95,Time Exit,2911.000000000058
rsi_oversold,BUY,2026-04-01 13:08:00.000000,23398.0,23400,ce,9.0,0.4362,-0.4861,0.0101,0.176,0.10838524607713017,,CLOSED,2026-04-01 13:14:00.000000,23454.11,Time Exit,2805.500000000029
rsi_oversold,BUY,2026-04-01 13:09:00.000000,23377.19,23400,ce,9.0,0.4362,-0.4861,0.0101,0.176,0.11694864945090823,,CLOSED,2026-04-01 13:15:00.000000,23417.5,Time Exit,2015.5000000000655
rsi_oversold,BUY,2026-04-01 14:03:00.000000,23575.81,23600,ce,17.23,0.4768,-0.5425,0.011,0.1727,0.2149571325276246,,CLOSED,2026-04-01 14:09:00.000000,23553.51,Time Exit,-1115.0000000001455
rsi_oversold,BUY,2026-04-01 14:04:00.000000,23542.0,23550,ce,5.0,0.5088,-0.5384,0.0091,0.2329,0.33862433862434027,,CLOSED,2026-04-01 14:10:00.000000,23571.54,Time Exit,1477.0000000000437
rsi_oversold,BUY,2026-04-01 14:05:00.000000,23527.2,23550,ce,5.0,0.5088,-0.5384,0.0091,0.2329,0.3671729283240069,,CLOSED,2026-04-01 14:11:00.000000,23595.73,Time Exit,3426.499999999942
rsi_oversold,BUY,2026-04-01 14:06:00.000000,23522.6,23500,ce,5.0,0.4449,-0.5647,0.0115,0.2303,0.3557465710458961,,CLOSED,2026-04-01 14:12:00.000000,23601.69,Time Exit,3954.5000000000073
rsi_oversold,BUY,2026-04-01 14:07:00.000000,23522.5,23500,ce,5.0,0.4449,-0.5647,0.0115,0.2303,0.39800712478703415,,CLOSED,2026-04-01 14:13:00.000000,23605.73,Time Exit,4161.499999999978
rsi_oversold,BUY,2026-04-01 14:08:00.000000,23518.86,23500,ce,5.0,0.4449,-0.5647,0.0115,0.2303,0.3810054679619938,,CLOSED,2026-04-01 14:14:00.000000,23609.59,Time Exit,4536.499999999978
rsi_oversold,BUY,2026-04-02 09:15:00.000000,22764.87,22750,ce,10.0,0.5455,-0.5909,0.0092,0.1822,0.8394336689228903,,CLOSED,2026-04-02 09:21:00.000000,22810.6,Time Exit,2286.499999999978
rsi_oversold,BUY,2026-04-02 09:16:00.000000,22768.05,22750,ce,10.0,0.5455,-0.5909,0.0092,0.1822,0.8550072282040536,,CLOSED,2026-04-02 09:22:00.000000,22815.42,Time Exit,2368.499999999949
rsi_oversold,BUY,2026-04-02 09:17:00.000000,22783.75,22800,ce,10.0,0.4956,-0.5223,0.0096,0.2148,0.818854463825302,,CLOSED,2026-04-02 09:23:00.000000,22859.52,Time Exit,3788.500000000022
rsi_oversold,BUY,2026-04-02 09:18:00.000000,22791.6,22800,ce,10.0,0.4956,-0.5223,0.0096,0.2148,0.8357209443905447,,CLOSED,2026-04-02 09:24:00.000000,22866.54,Time Exit,3747.0000000001164
rsi_oversold,BUY,2026-04-02 09:19:00.000000,22798.9,22800,ce,10.0,0.4956,-0.5223,0.0096,0.2148,0.8626260300649482,,CLOSED,2026-04-02 09:25:00.000000,22852.45,Time Exit,2677.4999999999636
rsi_oversold,BUY,2026-04-02 09:20:00.000000,22806.26,22800,ce,10.0,0.4956,-0.5223,0.0096,0.2148,0.8440884335036302,,CLOSED,2026-04-02 09:26:00.000000,22868.45,Time Exit,3109.5000000001164
rsi_oversold,BUY,2026-04-02 09:21:00.000000,22810.6,22800,ce,10.0,0.4956,-0.5223,0.0096,0.2148,0.8307770810641169,,CLOSED,2026-04-02 09:27:00.000000,22878.16,Time Exit,3378.0000000000655
rsi_oversold,BUY,2026-04-02 09:22:00.000000,22815.42,22800,ce,10.0,0.4956,-0.5223,0.0096,0.2148,0.8147841407038304,,CLOSED,2026-04-02 09:28:00.000000,22875.5,Time Exit,3004.0000000000873
rsi_oversold,BUY,2026-04-02 09:23:00.000000,22859.52,22850,ce,5.0,0.46,-0.5721,0.0106,0.1963,0.7540216984661455,,CLOSED,2026-04-02 09:29:00.000000,22902.17,Time Exit,2132.499999999891
rsi_oversold,BUY,2026-04-02 09:24:00.000000,22866.54,22850,ce,5.0,0.46,-0.5721,0.0106,0.1963,0.736850521944297,,CLOSED,2026-04-02 09:30:00.000000,22904.19,Time Exit,1882.4999999998909
rsi_oversold,BUY,2026-04-02 09:25:00.000000,22852.45,22850,ce,5.0,0.46,-0.5721,0.0106,0.1963,0.7500775739273399,,CLOSED,2026-04-02 09:31:00.000000,22868.16,Time Exit,785.4999999999563
