date,strategy,direction,regime,confidence,lots,entry_time,entry_price,exit_price,exit_time,exit_reason,pnl_pts,pnl_rs,won,armed_reason,index
2025-02-20,PUT_WRITER_SUPPORT,CE,RANGE_BOUND,0.833,12,2025-02-20 13:16:00,539.2,569.875,2025-02-20 13:49:00,TSL,28.17,3341.0,True,ARMED(conf=0.83),SENSEX
2025-02-21,GAMMA_BLAST,PE,TRENDING_BEAR,0.827,20,2025-02-21 13:16:00,346.65,355.152,2025-02-21 13:18:00,TSL,6.0,1160.4,True,ARMED(conf=0.83),SENSEX
2025-02-24,LONG_UNWIND,PE,NORMAL,0.816,34,2025-02-24 13:01:00,170.15,202.464,2025-02-24 13:03:00,TSL,29.81,10096.76,True,ARMED(conf=0.82),SENSEX
2025-02-24,LONG_UNWIND,PE,NORMAL,0.83,33,2025-02-24 13:46:00,210.95,217.248,2025-02-24 13:57:00,TSL,3.8,1213.34,True,ARMED(conf=0.83),SENSEX
2025-02-24,LONG_UNWIND,PE,NORMAL,0.829,32,2025-02-24 14:01:00,215.1,172.08,2025-02-24 14:18:00,SL,-45.52,-14606.4,False,ARMED(conf=0.83),SENSEX
2025-03-03,DAY_LOW_BULLISH,CE,TRENDING_BULL,0.876,7,2025-03-03 12:16:00,1200.0,1261.1,2025-03-03 13:30:00,TIME,58.6,4062.0,True,ARMED(conf=0.88),SENSEX
2025-03-03,LONG_UNWIND,PE,TRENDING_BULL,0.819,9,2025-03-03 13:31:00,730.0,584.0,2025-03-03 13:33:00,SL,-148.5,-13405.0,False,ARMED(conf=0.82),SENSEX
2025-03-03,LONG_UNWIND,PE,TRENDING_BULL,0.819,13,2025-03-03 13:46:00,511.25,744.5279999999999,2025-03-03 14:18:00,TSL,230.78,29961.14,True,ARMED(conf=0.82),SENSEX
2025-03-04,ULTIMATE_DAY_HIGH_LOW,CE,RANGE_BOUND,0.84,6,2025-03-04 10:01:00,1150.0,1085.0,2025-03-04 14:30:00,TIME,-67.5,-4090.0,False,ARMED(conf=0.84),SENSEX
2025-03-06,MOMENTUM_BURST,CE,TRENDING_BULL,0.829,5,2025-03-06 13:01:00,1001.45,965.3,2025-03-06 14:30:00,TIME,-38.65,-1972.5,False,ARMED(conf=0.83),SENSEX
2025-03-10,AI_ENHANCED,CE,NORMAL,0.815,8,2025-03-10 12:16:00,858.6,935.6,2025-03-10 14:26:00,SPOT_SL,74.5,5920.0,True,ARMED(conf=0.82),SENSEX
2025-03-11,OPTIONS_GREEKS,PE,RANGE_BOUND,0.83,10,2025-03-11 12:46:00,663.55,681.36,2025-03-11 13:36:00,TSL,15.31,1491.0,True,ARMED(conf=0.83),SENSEX
2025-03-11,MOMENTUM_BURST,CE,RANGE_BOUND,0.82,6,2025-03-11 14:16:00,859.0,822.85,2025-03-11 14:30:00,TIME,-38.65,-2359.0,False,ARMED(conf=0.82),SENSEX
2025-03-17,BEAR_TREND_FOLLOWER,PE,RANGE_BOUND,0.882,19,2025-03-17 12:46:00,477.5,489.936,2025-03-17 13:24:00,TSL,9.94,1847.84,True,ARMED(conf=0.88),SENSEX
2025-03-17,MACD_DIVERGENCE,CE,RANGE_BOUND,0.836,9,2025-03-17 13:46:00,623.65,587.75,2025-03-17 14:30:00,TIME,-38.4,-3496.0,False,ARMED(conf=0.84),SENSEX
2025-03-18,MACD_DIVERGENCE,CE,TRENDING_BULL,0.84,9,2025-03-18 12:46:00,612.5,568.1,2025-03-18 14:30:00,TIME,-46.9,-4261.0,False,ARMED(conf=0.84),SENSEX
