2026-05-01T14:45:03.011168 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T14:45:05.296571 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T14:45:05.296571 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T15:00:03.136337 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T15:00:03.136337 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T15:00:05.397676 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T15:00:05.397676 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T15:15:03.264648 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T15:15:03.264648 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T15:15:05.495062 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T15:15:05.495062 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T15:30:03.397621 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T15:30:03.397621 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T15:30:05.649728 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T15:30:05.649728 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T15:45:03.525146 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T15:45:03.525146 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T15:45:05.758813 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T15:45:05.758813 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T16:00:03.654943 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T16:00:03.654943 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T16:00:05.855674 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T16:00:05.855674 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T16:15:03.785089 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T16:15:03.785089 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T16:15:05.959895 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T16:15:05.959895 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T16:30:03.911384 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T16:30:03.911384 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T16:30:06.057455 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T16:30:06.057455 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T16:45:04.033845 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T16:45:04.033845 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T16:45:06.156693 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T16:45:06.156693 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T17:00:04.157671 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T17:00:04.157671 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T17:00:06.253751 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T17:00:06.253751 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T17:15:04.286246 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T17:15:04.286246 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T17:15:06.350091 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T17:15:06.351093 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T17:30:04.412522 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T17:30:04.412522 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T17:45:04.538000 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T17:45:04.538000 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T18:00:04.668583 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T18:00:04.668583 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T18:15:04.794275 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T18:15:04.794275 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T18:30:04.927219 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T18:30:04.927219 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T18:45:05.051942 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T18:45:05.051942 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T19:00:05.177928 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T19:00:05.177928 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T19:15:05.297750 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T19:15:05.297750 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T19:30:05.420309 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T19:30:05.420336 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T19:45:05.545602 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T19:45:05.545602 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T20:00:05.669953 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T20:00:05.669953 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T20:15:05.791000 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T20:15:05.791000 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T20:30:05.917712 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T20:30:05.917712 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T20:45:06.042779 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T20:45:06.042779 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T21:00:06.170125 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T21:00:06.170125 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T21:15:06.290456 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T21:15:06.290456 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T21:30:06.415350 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T21:30:06.415350 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T21:45:06.541479 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T21:45:06.541479 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T22:00:06.664624 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T22:00:06.664624 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T22:15:06.791297 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T22:15:06.791297 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T22:30:06.913098 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T22:30:06.913098 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T22:45:07.032817 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T22:45:07.032817 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T23:00:07.157164 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T23:00:07.157164 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-01T23:15:07.278737 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-01T23:15:07.278756 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T08:51:04.759945 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T09:06:04.888827 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T09:21:05.450581 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T14:00:16.606604 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T14:15:16.893286 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T14:15:16.893286 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T14:30:17.193858 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T14:30:17.193858 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T14:45:17.495427 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T14:45:17.495427 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T15:00:17.793011 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T15:00:17.793011 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T15:15:18.087740 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T15:15:18.087740 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T15:30:18.546394 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T15:30:18.546394 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T15:45:18.830546 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T15:45:18.830546 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T16:00:19.132203 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T16:00:19.132203 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T16:15:19.455535 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T16:15:19.455535 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T16:30:19.739614 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T16:30:19.739614 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T16:45:20.020899 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T16:45:20.020899 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T17:00:20.314600 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T17:00:20.314600 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T17:15:20.612218 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T17:15:20.612218 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T17:30:20.882643 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T17:30:20.882643 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T17:45:21.183621 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T17:45:21.183621 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T18:00:21.471657 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T18:00:21.471657 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T18:15:21.924536 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T18:15:21.924536 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T18:30:23.571896 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T18:30:23.571896 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T18:45:24.729250 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T18:45:24.729250 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T19:00:25.028386 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T19:00:25.028386 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-04T19:15:25.300168 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-04T19:15:25.300168 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-10T19:15:08.527980 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-10T19:15:08.527980 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-11T09:17:03.016947 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-11T09:32:08.457521 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-11T09:47:09.244279 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-12T14:00:22.975634 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-12T14:15:23.575851 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-12T14:15:23.575851 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-12T14:30:23.953154 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-12T14:30:23.953154 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-12T14:45:24.372667 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-12T14:45:24.372667 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-12T15:00:24.762710 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-12T15:00:24.762710 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-12T15:15:25.144730 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-12T15:15:25.144730 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T09:17:21.571820 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T09:32:23.538490 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T09:47:43.922902 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T14:00:18.761427 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T14:15:19.091419 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T14:15:19.091419 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T14:30:19.449561 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T14:30:19.449561 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T14:45:20.069304 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T14:45:20.069304 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T15:00:20.785485 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T15:00:20.785485 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T15:15:21.459597 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T15:15:21.460613 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T15:30:22.552888 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T15:30:22.552888 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T15:45:23.249500 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T15:45:23.249500 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T16:00:23.882503 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T16:00:23.882503 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T16:15:25.057640 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T16:15:25.057640 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T16:30:26.259516 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T16:30:26.259516 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T16:45:27.723382 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T16:45:27.723382 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-13T17:01:43.524401 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-13T17:01:43.524401 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T09:17:03.203219 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T09:32:05.023497 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T09:47:05.514510 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T14:00:26.863408 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T14:15:27.811039 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T14:15:27.811039 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T14:30:28.868054 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T14:30:28.868054 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T14:45:30.552658 | POSITION_SIZE_PCT = 1.0 | Regime profile
2026-05-14T14:45:30.552658 | POSITION_SIZE_PCT = 0.5 | Afternoon session
2026-05-14T15:00:33.301191 | POSITION_SIZE_PCT = 1.0 | Regime profile
